ref_key	running_id	citation	type	authors	year	title	links	sec	data_type	data_subtype	pattern_type	pattern_subtype	alg_name	algorithm	encoding	notes	mentions	html_ref	bib_string	flnk
siebes_item_2006	159	Siebes, Vreeken, and van Leeuwen (2006)	inproceedings	Arno Siebes, Jilles Vreeken, and Matthijs van Leeuwen	2006	Item sets that compress		4.1	tabular	binary	substructure	itemsets	<alg>Krimp</alg>	Generates a list of candidates by mining closed frequent itemsets, then filters greedily.	Shannon-Fano	Introducing the <alg>Krimp</alg> algorithm, not yet named. 	p.18:4.1,p.8:Figure 3,p.7,p.17,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Siebes, Arno, Jilles Vreeken, and Matthijs <span class='bibtex-protected'>van Leeuwen</span></span> (<span class='bib-block bib-when'>2006</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Item sets that compress.</span>
In <em>Proceedings of the 2006 <span class='bibtex-protected'>SIAM</span> International Conference on Data Mining, <span class='bibtex-protected'>SDM</span>'06</em>. <span class='bibtex-protected'>SIAM</span>.</span>"	"@inproceedings{siebes_item_2006,
    author = {Siebes, Arno and Vreeken, Jilles and {van Leeuwen}, Matthijs},
    title = {Item Sets that Compress},
    booktitle = {Proceedings of the 2006 {SIAM} International Conference on Data Mining, {SDM}'06},
    publisher = {{SIAM}},
    year = {2006}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/SiebesVvL06.pdf", "pdf")
van_leeuwen_compression_2006	175	van Leeuwen, Vreeken, and Siebes (2006)	inproceedings	Matthijs van Leeuwen, Jilles Vreeken, and Arno Siebes	2006	Compression picks item sets that matter	<a href='https://doi.org/10.1007/11871637_59'>doi:10.1007/11871637_59</a>	4.1	tabular	binary	substructure	itemsets	<alg>Krimp</alg>, Dutch for ‘to shrink’	Generates a list of candidates by mining closed frequent itemsets, then filters greedily.	Shannon-Fano	Naming the <alg>Krimp</alg> algorithm. Evaluation on <task>classification</task>.	p.18:4.1,p.8:Figure 3,p.17,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'><span class='bibtex-protected'>van Leeuwen</span>, Matthijs, Jilles Vreeken, and Arno Siebes</span> (<span class='bib-block bib-when'>2006</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Compression picks item sets that matter.</span>
In <em>Proceedings of the European Conference on Knowledge Discovery in Databases, <span class='bibtex-protected'>PKDD</span>'06</em>, 585–592. Springer.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/11871637_59'>doi:10.1007/11871637_59</a>.</span></span>"	"@inproceedings{van_leeuwen_compression_2006,
    author = {{van Leeuwen}, Matthijs and Vreeken, Jilles and Siebes, Arno},
    title = {Compression Picks Item Sets That Matter},
    doi = {10.1007/11871637_59},
    pages = {585--592},
    booktitle = {Proceedings of the European Conference on Knowledge Discovery in Databases, {PKDD}'06},
    publisher = {Springer},
    year = {2006}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/vanLeeuwenVS06.pdf", "pdf")
van_leeuwen_identifying_2009	176	van Leeuwen, Vreeken, and Siebes (2009)	article	Matthijs van Leeuwen, Jilles Vreeken, and Arno Siebes	2009	Identifying the components	<a href='https://doi.org/10.1007/s10618-009-0137-2'>doi:10.1007/s10618-009-0137-2</a>	4.1	tabular	binary	substructure	itemsets				Using <alg>Krimp</alg> to partition the data.	p.18:4.1,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'><span class='bibtex-protected'>van Leeuwen</span>, Matthijs, Jilles Vreeken, and Arno Siebes</span> (<span class='bib-block bib-when'>2009</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Identifying the components.</span>
<em>Data Mining and Knowledge Discovery</em>, 19(2):176–193.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/s10618-009-0137-2'>doi:10.1007/s10618-009-0137-2</a>.</span></span>"	"@article{van_leeuwen_identifying_2009,
    author = {{van Leeuwen}, Matthijs and Vreeken, Jilles and Siebes, Arno},
    title = {Identifying the components},
    volume = {19},
    doi = {10.1007/s10618-009-0137-2},
    pages = {176--193},
    number = {2},
    journal = {Data Mining and Knowledge Discovery},
    year = {2009}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/vanLeeuwenVS09.pdf", "pdf")
vreeken_making_2009	179	Vreeken (2009)	phdthesis	Jilles Vreeken	2009	Making Pattern Mining Useful		4.1	tabular	binary	substructure	itemsets				Doctoral dissertation based on <rkey>siebes_item_2006</rkey>, <rkey>van_leeuwen_compression_2006</rkey>, <rkey>vreeken_krimp_2011</rkey>, <rkey>vreeken_characterising_2007</rkey>, <rkey>van_leeuwen_identifying_2009</rkey>, <rkey>heikinheimo_low-entropy_2009</rkey> and <rkey>tatti_finding_2008</rkey>.	p.18:4.1,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Vreeken, Jilles</span> (<span class='bib-block bib-when'>2009</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'><em>Making Pattern Mining Useful</em>.</span>
PhD thesis, Universiteit Utrecht.</span>"	"@thesis{vreeken_making_2009,
    author = {Vreeken, Jilles},
    title = {Making Pattern Mining Useful},
    institution = {Universiteit Utrecht},
    type = {phdthesis},
    year = {2009}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/VreekenPHD09.pdf", "pdf")
van_leeuwen_patterns_2010	170	van Leeuwen (2010)	phdthesis	Matthijs van Leeuwen	2010	Patterns that Matter		4.1	tabular	binary	substructure	itemsets				Doctoral dissertation based on <rkey>siebes_item_2006</rkey>, <rkey>van_leeuwen_compression_2006</rkey>, <rkey>vreeken_krimp_2011</rkey>, <rkey>vreeken_characterising_2007</rkey>, <rkey>vreeken_preserving_2007</rkey>, <rkey>van_leeuwen_streamkrimp_2008</rkey>, <rkey>van_leeuwen_identifying_2009</rkey> and <rkey>van_leeuwen_compressing_2009</rkey>.	p.18:4.1,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'><span class='bibtex-protected'>van Leeuwen</span>, Matthijs</span> (<span class='bib-block bib-when'>2010</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'><em>Patterns that Matter</em>.</span>
PhD thesis, Universiteit Utrecht.</span>"	"@thesis{van_leeuwen_patterns_2010,
    author = {{van Leeuwen}, Matthijs},
    title = {Patterns that Matter},
    institution = {Universiteit Utrecht},
    type = {phdthesis},
    year = {2010}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/vanLeeuwenPHD10.pdf", "pdf")
vreeken_krimp_2011	183	Vreeken, van Leeuwen, and Siebes (2011)	article	Jilles Vreeken, Matthijs van Leeuwen, and Arno Siebes	2011	Krimp: mining itemsets that compress		4.1	tabular	binary	substructure	itemsets	<alg>Krimp</alg>	Generates a list of candidates by mining closed frequent itemsets, then filters greedily.	Shannon-Fano	Extended presentation of the <alg>Krimp</alg>, including illustrated examples.	p.18:4.1,p.18,p.38,p.40	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Vreeken, Jilles, Matthijs <span class='bibtex-protected'>van Leeuwen</span>, and Arno Siebes</span> (<span class='bib-block bib-when'>2011</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Krimp: mining itemsets that compress.</span>
<em>Data Mining and Knowledge Discovery</em>, 23(1):169–214.</span>"	"@article{vreeken_krimp_2011,
    author = {Vreeken, Jilles and {van Leeuwen}, Matthijs and Siebes, Arno},
    title = {Krimp: Mining Itemsets that Compress},
    volume = {23},
    pages = {169--214},
    number = {1},
    journal = {Data Mining and Knowledge Discovery},
    year = {2011}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/VreekenvS11.pdf", "pdf")
siebes_queries_2012	155	Siebes (2012)	inproceedings	Arno Siebes	2012	Queries for data analysis		4.1	tabular	binary	substructure	itemsets				Conceptual discussion motivated by observations made when developping <alg>Krimp</alg>.	p.18:4.1,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Siebes, Arno</span> (<span class='bib-block bib-when'>2012</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Queries for data analysis.</span>
In <em>Proceedings of the 11th International Symposium on Advances in Intelligent Data Analysis, <span class='bibtex-protected'>IDA</span>'12</em>, 7–22. Springer.</span>"	"@inproceedings{siebes_queries_2012,
    author = {Siebes, Arno},
    title = {Queries for Data Analysis},
    pages = {7--22},
    booktitle = {Proceedings of the 11th International Symposium on Advances in Intelligent Data Analysis, {IDA}'12},
    publisher = {Springer},
    year = {2012}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/Siebes12.pdf", "pdf")
siebes_mdl_2014	156	Siebes (2014)	inproceedings	Arno Siebes	2014	MDL in pattern mining: a brief introduction to krimp	<a href='https://doi.org/10.1007/978-3-319-07248-7_3'>doi:10.1007/978-3-319-07248-7_3</a>	4.1	tabular	binary	substructure	itemsets				Short, accessible, presentation of <alg>Krimp</alg>, without technical algorithmic details.	p.18:4.1,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Siebes, Arno</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'><span class='bibtex-protected'>MDL</span> in pattern mining: a brief introduction to krimp.</span>
In <em>Proceedings of the international conference on Formal Concept Analysis, <span class='bibtex-protected'>FCA</span>'14</em>, 37–43. Springer.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/978-3-319-07248-7_3'>doi:10.1007/978-3-319-07248-7_3</a>.</span></span>"	"@inproceedings{siebes_mdl_2014,
    author = {Siebes, Arno},
    title = {{MDL} in Pattern Mining: A Brief Introduction to Krimp},
    doi = {10.1007/978-3-319-07248-7_3},
    pages = {37--43},
    booktitle = {Proceedings of the international conference on Formal Concept Analysis, {FCA}'14},
    publisher = {Springer},
    year = {2014}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/Siebes14.pdf", "pdf")
van_leeuwen_mining_2014	174	van Leeuwen and Vreeken (2014)	incollection	Matthijs van Leeuwen and Jilles Vreeken	2014	Mining and using sets of patterns through compression	<a href='https://doi.org/10.1007/978-3-319-07821-2_8'>doi:10.1007/978-3-319-07821-2_8</a>	4.1	tabular	binary	substructure	itemsets				Description of <alg>Krimp</alg>, its use for mining itemsets and related tasks.	p.18:4.1,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'><span class='bibtex-protected'>van Leeuwen</span>, Matthijs and Jilles Vreeken</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Mining and using sets of patterns through compression.</span>
In <em>Frequent Pattern Mining</em>, pages 165–198.
Springer.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/978-3-319-07821-2_8'>doi:10.1007/978-3-319-07821-2_8</a>.</span></span>"	"@incollection{van_leeuwen_mining_2014,
    author = {{van Leeuwen}, Matthijs and Vreeken, Jilles},
    title = {Mining and Using Sets of Patterns through Compression},
    pages = {165--198},
    booktitle = {Frequent Pattern Mining},
    publisher = {Springer},
    year = {2014},
    doi = {10.1007/978-3-319-07821-2_8}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/vanLeeuwenV14.pdf", "pdf")
smets_slim_2012	161	Smets and Vreeken (2012)	inproceedings	Koen Smets and Jilles Vreeken	2012	Slim: directly mining descriptive patterns		4.2	tabular	binary	substructure	itemsets	<alg>Slim</alg>	Replaces <alg>Krimp</alg>’s pre-mined list of candidates by on-the-fly candidate generation. Bottom-up, anytime algorithm.	Shannon-Fano	Building on <alg>Krimp</alg>.	p.18:4.2,p.8:Figure 3,p.7,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Smets, Koen and Jilles Vreeken</span> (<span class='bib-block bib-when'>2012</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Slim: directly mining descriptive patterns.</span>
In <em>Proceedings of the 2012 <span class='bibtex-protected'>SIAM</span> International Conference on Data Mining, <span class='bibtex-protected'>SDM</span>'12</em>, 236–247. <span class='bibtex-protected'>SIAM</span>.</span>"	"@inproceedings{smets_slim_2012,
    author = {Smets, Koen and Vreeken, Jilles},
    title = {Slim: Directly Mining Descriptive Patterns},
    pages = {236--247},
    booktitle = {Proceedings of the 2012 {SIAM} International Conference on Data Mining, {SDM}'12},
    publisher = {{SIAM}},
    year = {2012}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/SmetsV12.pdf", "pdf")
